Top pages,Clicks,Impressions,CTR,Position
https://www.orangejelly.co.uk/licensees-guide/cash-bingo-101,6,1371,0.44%,10.94
https://www.orangejelly.co.uk/guides/music-bingo-101,0,3,0%,3.67
