Date,Affected pages
2026-03-21,20
2026-03-22,20
2026-03-23,20
2026-03-24,20
2026-03-25,18
2026-03-26,18
2026-03-27,18
2026-03-28,18
2026-03-29,18
2026-03-30,18
2026-03-31,18
2026-04-01,16
2026-04-02,16
2026-04-03,16
2026-04-04,16
2026-04-05,47
2026-04-06,47
2026-04-07,46
2026-04-08,46
2026-04-09,46
2026-04-10,46
2026-04-11,46
2026-04-12,46
2026-04-13,46
2026-04-14,46
2026-04-15,46
2026-04-16,46
2026-04-17,46
2026-04-18,46
2026-04-19,46
2026-04-20,46
2026-04-21,46
2026-04-22,46
2026-04-23,46
2026-04-24,46
2026-04-25,46
2026-04-26,46
2026-04-27,46
2026-04-28,47
2026-04-29,47
2026-04-30,47
2026-05-01,47
2026-05-02,49
2026-05-03,49
2026-05-04,49
2026-05-05,49
2026-05-06,49
2026-05-07,49
2026-05-08,49
2026-05-09,49
2026-05-10,49
2026-05-11,49
2026-05-12,51
2026-05-13,51
2026-05-14,51
2026-05-15,51
2026-05-16,50
2026-05-17,50
2026-05-18,50
2026-05-19,50
2026-05-20,50
2026-05-21,50
2026-05-22,50
2026-05-23,50
2026-05-24,50
2026-05-25,50
2026-05-26,50
2026-05-27,50
2026-05-28,50
2026-05-29,50
2026-05-30,58
2026-05-31,58
2026-06-01,58
2026-06-02,44
2026-06-03,44
2026-06-04,44
2026-06-05,44
2026-06-06,43
2026-06-07,43
2026-06-08,43
2026-06-09,44
2026-06-10,44
2026-06-11,44
2026-06-12,44
