url,status,final_url,content_type,template,in_sitemap,word_count,internal_links,external_links,image_count,missing_alt_count,redirect_hops,error,collected_at
https://www.orangejelly.co.uk/licensees-guide/category/revenue-growth,200,https://www.orangejelly.co.uk/licensees-guide/category/revenue-growth,text/html; charset=utf-8,section:licensees-guide,yes,651,55,5,4,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/instagram-marketing-for-pubs,200,https://www.orangejelly.co.uk/licensees-guide/instagram-marketing-for-pubs,text/html; charset=utf-8,section:licensees-guide,yes,859,52,15,5,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/email-marketing-pub-retention,200,https://www.orangejelly.co.uk/licensees-guide/email-marketing-pub-retention,text/html; charset=utf-8,section:licensees-guide,yes,1013,54,15,5,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/pub-health-safety-checklist,200,https://www.orangejelly.co.uk/licensees-guide/pub-health-safety-checklist,text/html; charset=utf-8,section:licensees-guide,yes,3642,54,15,5,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/ways-to-work/turnaround-intensive,200,https://www.orangejelly.co.uk/ways-to-work/turnaround-intensive,text/html; charset=utf-8,section:ways-to-work,yes,583,35,7,3,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/premium-pub-positioning,200,https://www.orangejelly.co.uk/licensees-guide/premium-pub-positioning,text/html; charset=utf-8,section:licensees-guide,yes,2449,49,15,5,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/cash-flow-crisis-breaking-cycle,410,https://www.orangejelly.co.uk/licensees-guide/cash-flow-crisis-breaking-cycle,text/plain;charset=UTF-8,section:licensees-guide,yes,0,0,0,0,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/how-much-profit-does-a-pub-make,200,https://www.orangejelly.co.uk/licensees-guide/how-much-profit-does-a-pub-make,text/html; charset=utf-8,section:licensees-guide,yes,3486,57,15,5,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/low-cost-decor-refreshes-new-improved,200,https://www.orangejelly.co.uk/licensees-guide/low-cost-decor-refreshes-new-improved,text/html; charset=utf-8,section:licensees-guide,yes,890,49,15,5,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/young-people-wont-come-to-your-pub,200,https://www.orangejelly.co.uk/licensees-guide/young-people-wont-come-to-your-pub,text/html; charset=utf-8,section:licensees-guide,yes,1693,49,15,5,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/category/marketing,200,https://www.orangejelly.co.uk/licensees-guide/category/marketing,text/html; charset=utf-8,section:licensees-guide,yes,999,63,5,4,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/christmas-pub-event-ideas,200,https://www.orangejelly.co.uk/licensees-guide/christmas-pub-event-ideas,text/html; charset=utf-8,section:licensees-guide,yes,2115,70,15,5,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/category/food-drink,200,https://www.orangejelly.co.uk/licensees-guide/category/food-drink,text/html; charset=utf-8,section:licensees-guide,yes,243,44,5,4,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/compete-with-pub-chains,200,https://www.orangejelly.co.uk/compete-with-pub-chains,text/html; charset=utf-8,top-level:compete-with-pub-chains,yes,753,38,7,4,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/pub-health-check-essential-fundamentals-licensee-success,200,https://www.orangejelly.co.uk/licensees-guide/pub-health-check-essential-fundamentals-licensee-success,text/html; charset=utf-8,section:licensees-guide,yes,5185,82,15,5,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/epos-data-revenue-comeback,200,https://www.orangejelly.co.uk/licensees-guide/epos-data-revenue-comeback,text/html; charset=utf-8,section:licensees-guide,yes,957,49,15,5,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/village-pub-dying-village-survival,200,https://www.orangejelly.co.uk/licensees-guide/village-pub-dying-village-survival,text/html; charset=utf-8,section:licensees-guide,yes,870,50,15,5,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/ways-to-work/momentum-month,200,https://www.orangejelly.co.uk/ways-to-work/momentum-month,text/html; charset=utf-8,section:ways-to-work,yes,533,35,7,3,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/restart-quiz-music-sport-roi,200,https://www.orangejelly.co.uk/licensees-guide/restart-quiz-music-sport-roi,text/html; charset=utf-8,section:licensees-guide,yes,919,49,15,5,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/category/events,200,https://www.orangejelly.co.uk/licensees-guide/category/events,text/html; charset=utf-8,section:licensees-guide,yes,1499,75,5,4,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/pub-new-years-eve-planning-guide,200,https://www.orangejelly.co.uk/licensees-guide/pub-new-years-eve-planning-guide,text/html; charset=utf-8,section:licensees-guide,yes,2991,56,15,5,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/quiet-midweek-solutions,200,https://www.orangejelly.co.uk/quiet-midweek-solutions,text/html; charset=utf-8,top-level:quiet-midweek-solutions,yes,742,39,7,4,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/seasonal-pub-events-calendar,200,https://www.orangejelly.co.uk/licensees-guide/seasonal-pub-events-calendar,text/html; charset=utf-8,section:licensees-guide,yes,885,50,15,5,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/pub-halloween-bonfire-night-events,200,https://www.orangejelly.co.uk/licensees-guide/pub-halloween-bonfire-night-events,text/html; charset=utf-8,section:licensees-guide,yes,4078,57,15,5,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/summer-pub-marketing,200,https://www.orangejelly.co.uk/licensees-guide/summer-pub-marketing,text/html; charset=utf-8,section:licensees-guide,yes,1799,58,15,5,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/menu-engineering-lift-average-spend,200,https://www.orangejelly.co.uk/licensees-guide/menu-engineering-lift-average-spend,text/html; charset=utf-8,section:licensees-guide,yes,1012,52,15,5,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/pub-marketing-agency,200,https://www.orangejelly.co.uk/pub-marketing-agency,text/html; charset=utf-8,top-level:pub-marketing-agency,yes,1002,41,7,4,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/win-back-locals-after-slow-trade,200,https://www.orangejelly.co.uk/licensees-guide/win-back-locals-after-slow-trade,text/html; charset=utf-8,section:licensees-guide,yes,879,49,15,5,0,0,,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/contact,200,https://www.orangejelly.co.uk/contact,text/html; charset=utf-8,contact/conversion,yes,694,37,11,6,0,0,,2026-06-16T06:56:25.903002+00:00
