Top pages,Clicks,Impressions,CTR,Position
https://www.orangejelly.co.uk/licensees-guide/why-is-my-pub-empty,0,144,0%,7.95
https://www.orangejelly.co.uk/pub-rescue,0,10,0%,4.6
https://www.orangejelly.co.uk/licensees-guide/pub-refurbishment-on-budget,0,7,0%,4.29
https://www.orangejelly.co.uk/licensees-guide/pub-empty-tuesday-nights,0,1,0%,4
https://www.orangejelly.co.uk/guides/why-is-my-pub-empty,0,1,0%,8
