Top queries,Clicks,Impressions,CTR,Position
pub cellar maintenance,0,83,0%,24.25
pub maintenance,0,28,0%,89.32
pub refurbishment opportunities,0,18,0%,31.33
pub refurbishments,0,14,0%,54.71
bar refurbishment,0,11,0%,49.73
pub refurbishment,0,6,0%,14.5
pub toilet refurbishment,0,4,0%,13
pub refit,0,4,0%,46
bar refurb,0,2,0%,38
pub refurbishment opportunity,0,2,0%,42.5
pub refurbishment companies,0,1,0%,2
bar refurbishment companies,0,1,0%,4
