run_id,finalised_at,cluster_id,window,clicks,impressions,ctr,position_weighted,evidence_tier,tags,action,priority_score,scenario_clicks_monthly,incident_flags,mapping_version,score_version
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0011,3m,0,16,0,15.44,B,DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),hold,3.0,not estimable,,2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0011,gsc-16m-all,0,32,0,17.5,,,,,,"gsc-2025-impressions-logging-error:crosses:ctr,impressions,position|gsc-2025-num100-removal:crosses:ctr,impressions,position",2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0011,month,,,,,,,,,,,2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0012,3m,0,148,0,7.6226,B,STRIKING_DISTANCE_CANDIDATE|CTR_GAP_CANDIDATE|DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),serp-check,36.0,not estimable,,2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0012,gsc-16m-all,1,300,0.003333,8.3238,,,,,,"gsc-2025-impressions-logging-error:crosses:ctr,impressions,position|gsc-2025-num100-removal:crosses:ctr,impressions,position",2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0012,month,0,32,0,8.9041,,,,,,,2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0013,3m,0,11,0,7.3645,B,LOW_OBSERVED_VISIBILITY|DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),investigate-visibility,22.5,not estimable,,2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0013,gsc-16m-all,1,47,0.021277,7.8323,,,,,,"gsc-2025-impressions-logging-error:crosses:ctr,impressions,position|gsc-2025-num100-removal:crosses:ctr,impressions,position",2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0013,month,0,9,0,6.6678,,,,,,,2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0014,3m,3,957,0.003135,8.5749,B,STRIKING_DISTANCE_CANDIDATE|CTR_GAP_CANDIDATE|DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),serp-check,18.0,not estimable,,2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0014,gsc-16m-all,3,973,0.003083,8.4674,,,,,,"gsc-2025-impressions-logging-error:crosses:ctr,impressions,position|gsc-2025-num100-removal:crosses:ctr,impressions,position",2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0014,month,3,565,0.00531,8.7773,,,,,,,2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0015,3m,1,402,0.002488,11.3821,B,STRIKING_DISTANCE_CANDIDATE|DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),strengthen-page,16.0,not estimable,,2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0015,gsc-16m-all,1,394,0.002538,11.0777,,,,,,"gsc-2025-impressions-logging-error:crosses:ctr,impressions,position|gsc-2025-num100-removal:crosses:ctr,impressions,position",2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0015,month,1,127,0.007874,10.8513,,,,,,,2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0016,3m,0,91,0,53.4931,B,DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),hold,3.0,not estimable,,2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0016,gsc-16m-all,0,529,0,46.0988,,,,,,"gsc-2025-impressions-logging-error:crosses:ctr,impressions,position|gsc-2025-num100-removal:crosses:ctr,impressions,position",2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0016,month,0,42,0,39.4298,,,,,,,2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0017,3m,0,1,0,12,B,LOW_OBSERVED_VISIBILITY|DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),investigate-visibility,37.5,not estimable,,2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0017,gsc-16m-all,0,2,0,14.5,,,,,,"gsc-2025-impressions-logging-error:crosses:ctr,impressions,position|gsc-2025-num100-removal:crosses:ctr,impressions,position",2,2.1.0
2026-09-08-01-setup,2026-09-08T16:45:13+00:00,cl_0017,month,,,,,,,,,,,2,2.1.0
