query,page,position,impressions,clicks,ctr,ctr_target,ctr_deficit,est_clicks_left_on_table
pub loyalty scheme,,13.35,82,0,0.0,0.014,0.014,1.1
bingo in pubs,,11.06,51,0,0.0,0.018,0.018,0.9
kids craft pop up events for pubs,,14.19,70,0,0.0,0.013,0.013,0.9
pub bingo,,12.61,59,0,0.0,0.014,0.014,0.8
