Top pages,Clicks,Impressions,CTR,Position
https://www.orangejelly.co.uk/licensees-guide/social-media-strategy-for-pubs,0,18,0%,21
https://www.orangejelly.co.uk/guides/content-marketing-ideas-pubs,0,5,0%,5.8
https://www.orangejelly.co.uk/licensees-guide/content-marketing-ideas-pubs,0,2,0%,8
https://www.orangejelly.co.uk/guides/instagram-marketing-for-pubs,0,1,0%,1
https://www.orangejelly.co.uk/guides/social-media-strategy-for-pubs,0,1,0%,11
https://www.orangejelly.co.uk/services/social-media-marketing-for-pubs,0,1,0%,11
