Reason,Source,Validation,Pages
Excluded by ‘noindex’ tag,Website,Not Started,10
Page with redirect,Website,Not Started,7
Not found (404),Website,Not Started,6
Blocked by robots.txt,Website,Not Started,6
Duplicate without user-selected canonical,Website,Not Started,2
Discovered – currently not indexed,Google systems,Not Started,44
Crawled - currently not indexed,Google systems,Not Started,30
